ranking,tier,school,nickname,region,probation
177,2,La Salle,Explorers,Atlantic East,
221,3,Lafayette,Leopards,Atlantic East,
303,3,Lamar,Cardinals,Great Plains,
159,2,Lehigh,Mountain Hawks,Atlantic East,
58,2,Liberty,Flames,Atlantic East,
242,3,Lipscomb,Bisons,Southeast,
168,2,Little Rock,Trojans,Southeast,
332,3,Long Beach State,49ers,West,
339,3,Long Island,Sharks,Atlantic East,
253,3,Longwood,Lancers,Atlantic East,
41,2,Louisiana State,Tigers,Southeast,
142,2,Louisiana Tech,Bulldogs,Southeast,
169,2,Louisiana-Lafayette,Ragin' Cajuns,Southeast,
312,3,Louisiana-Monroe,Warhawks,Southeast,
105,2,Louisville,Cardinals,Southeast,
211,3,Loyola (IL),Ramblers,Midwest,
78,2,Loyola (MD),Greyhounds,Atlantic East,
315,3,Loyola Marymount,Lions,West,
88,2,MD-Baltimore County,Retrievers,Atlantic East,
22,1,Maine,Black Bears,Atlantic East,
198,3,Manhattan,Jaspers,Atlantic East,
272,3,Marist,Red Foxes,Atlantic East,
17,1,Marquette,Golden Eagles,Midwest,
188,2,Marshall,Thundering Herd,Atlantic East,
4,1,Maryland,Terrapins,Atlantic East,
354,3,Maryland-E. Shore,Hawks,Atlantic East,
240,3,Mass.-Lowell,River Hawks,Atlantic East,
178,2,Massachusetts,Minutemen,Atlantic East,
103,2,McNeese State,Cowboys,Southeast,
35,1,Memphis,Tigers,Southeast,
297,3,Mercer,Bears,Southeast,
323,3,Merrimack,Warriors,Atlantic East,
106,2,Miami (FL),Hurricanes,Southeast,
152,2,Miami (OH),Red Hawks,Midwest,
5,1,Michigan,Wolverines,Midwest,
11,1,Michigan State,Spartans,Midwest,No scholarships or post-season for 2 seasons
189,2,Middle Tennessee,Blue Raiders,Southeast,
266,3,Milwaukee,Panthers,Midwest,
37,1,Minnesota,Golden Gophers,Midwest,
6,1,Mississippi,Rebels,Southeast,
224,3,Mississippi State,Bulldogs,Southeast,
308,3,Mississippi Valley,Delta Devils,Southeast,
162,2,Missouri,Tigers,Great Plains,
284,3,Missouri State,Bears,Great Plains,
66,2,Monmouth,Hawks,Atlantic East,
132,2,Montana,Grizzlies,West,
133,2,Montana State,Bobcats,West,
342,3,Morehead State,Eagles,Southeast,
280,3,Morgan State,Bears,Atlantic East,
215,3,Mount St. Marys,Mountaineers,Atlantic East,
12,1,Murray State,Racers,Southeast,
208,3,NC Central,Eagles,Atlantic East,
254,3,NC-Asheville,Bulldogs,Atlantic East,
298,3,NC-Greensboro,Spartans,Atlantic East,
262,3,NC-Wilmington,Seahawks,Atlantic East,
243,3,NJIT,Highlanders,Atlantic East,
160,2,Navy,Midshipmen,Atlantic East,
135,2,Nebraska,Cornhuskers,Great Plains,
288,3,Nevada,Wolfpack,West,
213,3,Nevada-Las Vegas,Runnin' Rebels,West,
325,3,New Hampshire,Wildcats,Atlantic East,
74,2,New Mexico,Lobos,West,
86,2,New Mexico State,Aggies,West,
165,2,New Orleans,Privateers,Southeast,
196,2,Niagara,Purple Eagles,Atlantic East,
80,2,Nicholls State,Colonels,Southeast,
337,3,Norfolk State,Spartans,Atlantic East,
283,3,North Alabama,Lions,Southeast,
90,2,North Carolina,Tar Heels,Atlantic East,
281,3,North Carolina A&T,Aggies,Atlantic East,
7,1,North Carolina St.,Wolfpack,Atlantic East,
247,3,North Dakota,Fighting Hawks,Great Plains,
276,3,North Dakota St.,Bison,Great Plains,
328,3,North Florida,Osprey,Southeast,
143,2,North Texas,Mean Green,Great Plains,
60,2,Northeastern,Huskies,Atlantic East,
248,3,Northern Arizona,Lumberjacks,West,
249,3,Northern Colorado,Bears,Great Plains,
204,3,Northern Illinois,Huskies,Midwest,
72,2,Northern Iowa,Panthers,Great Plains,
335,3,Northern Kentucky,Norse,Southeast,
134,2,Northwestern,Wildcats,Midwest,
226,3,Northwestern State,Demons,Southeast,
15,1,Notre Dame,Fighting Irish,Midwest,
96,2,Oakland,Golden Grizzlies,Midwest,
68,2,Ohio,Bobcats,Midwest,
8,1,Ohio State,Buckeyes,Midwest,
9,1,Oklahoma,Sooners,Great Plains,
110,2,Oklahoma State,Cowboys,Great Plains,
49,2,Old Dominion,Monarchs,Atlantic East,
205,3,Omaha,Mavericks,Great Plains,
50,2,Oral Roberts,Golden Eagles,Great Plains,
39,1,Oregon,Ducks,West,
156,2,Oregon State,Beavers,West,
319,3,Pacific,Tigers,West,
136,2,Penn State,Nittany Lions,Atlantic East,
148,2,Pennsylvania,Quakers,Atlantic East,
316,3,Pepperdine,Waves,West,
10,1,Pittsburgh,Panthers,Atlantic East,
171,2,Portland,Pilots,West,
250,3,Portland State,Vikings,West,
309,3,Prairie View,Panthers,Great Plains,
255,3,Presbyterian,Blue Hose,Southeast,
65,2,Princeton,Tigers,Atlantic East,
25,1,Providence,Friars,Atlantic East,
18,1,Purdue,Boilermakers,Midwest,
274,3,Purdue Fort Wayne,Mastadons,Midwest,
149,2,Quinnipiac,Bobcats,Atlantic East,
256,3,Radford,Highlanders,Atlantic East,
180,2,Rhode Island,Rams,Atlantic East,
190,2,Rice,Owls,Great Plains,
24,1,Richmond,Spiders,Atlantic East,
271,3,Rider,Broncs,Atlantic East,
356,3,Robert Morris,Colonials,Atlantic East,
108,2,Rutgers,Scarlet Knights,Atlantic East,
229,3,SE Louisiana,Lions,Southeast,
295,3,SE Missouri State,Redhawks,Great Plains,
219,3,SIU Edwardsville,Cougars,Midwest,
251,3,Sacramento State,Hornets,West,
340,3,Sacred Heart,Pioneers,Atlantic East,
216,3,Saint Francis (PA),Red Flash,Atlantic East,
179,2,Saint Josephs,Hawks,Atlantic East,
181,2,Saint Louis,Billikens,Great Plains,No scholarships for 1 season
52,2,Saint Marys,Gaels,West,
195,2,Saint Peters,Peacocks,Atlantic East,
227,3,Sam Houston State,Bearkats,Great Plains,
347,3,Samford,Bulldogs,Southeast,
317,3,San Diego,Toreros,West,
51,2,San Diego State,Aztecs,West,
84,2,San Francisco,Dons,West,
289,3,San Jose State,Spartans,West,
318,3,Santa Clara,Broncos,West,
173,2,Seattle,Redhawks,West,
94,2,Seton Hall,Pirates,Atlantic East,
197,3,Siena,Saints,Atlantic East,
244,3,So. Carolina Upstate,Spartans,Southeast,
313,3,South Alabama,Jaguars,Southeast,
163,2,South Carolina,Gamecocks,Southeast,
