Team,Points
Atlanta,2
Boston,11
Calgary,4
Chicago,4
Columbus,11
Dallas,4
Denver,2
Detroit,6
Houston,15
Indiana,15
Kansas City,6
Los Angeles,13
Memphis,9
Miami,1
Milwaukee,5
Minnesota,1
Montreal,8
New Jersey,10
New Orleans,9
New York,4
Oklahoma City,19
Philadelphia,3
Phoenix,27
Portland,14
San Antonio,3
San Diego,29
Seattle,5
Toronto,2
Vancouver,4
Washington,7
